;Model;Imputation;Loss;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
0;TKAN;Forward fill;BCE;1.38±0.40;1.73±0.58;41.80±71.80;0.35±0.09;0.76±0.11
1;TKAN;Forward fill;MSE(logit);3.41±3.02;2.14±1.10;6.47±9.36;0.43±0.23;0.58±0.36
2;LSTM;Forward fill;BCE;1.76±0.18;1.57±0.06;10.28±3.54;0.36±0.02;0.73±0.07
3;LSTM;Forward fill;MSE(logit);1.97±0.24;1.76±0.17;2.56±0.14;0.40±0.03;0.74±0.03
4;GRU;Forward fill;BCE;1.57±0.57;1.53±0.18;13.88±7.52;0.33±0.02;0.77±0.04
5;GRU;Forward fill;MSE(logit);2.33±0.71;1.85±0.24;2.64±0.72;0.46±0.02;0.65±0.04
6;TKAN;Interpolation;BCE;1.61±0.47;1.60±0.16;7.06±2.53;0.33±0.02;0.78±0.05
7;TKAN;Interpolation;MSE(logit);1.85±0.53;1.53±0.19;2.28±0.66;0.31±0.02;0.74±0.05
8;LSTM;Interpolation;BCE;1.37±0.34;1.52±0.15;5.97±3.47;0.32±0.02;0.80±0.03
9;LSTM;Interpolation;MSE(logit);2.31±0.55;1.87±0.19;3.02±1.31;0.43±0.06;0.67±0.09
10;GRU;Interpolation;BCE;1.53±0.45;1.53±0.15;11.34±5.31;0.33±0.03;0.78±0.05
11;GRU;Interpolation;MSE(logit);2.54±1.03;1.93±0.32;3.19±1.71;0.48±0.08;0.65±0.11
12;TKAN;Model-based;BCE;1.71±0.29;1.60±0.13;7.91±2.32;0.33±0.01;0.77±0.04
13;TKAN;Model-based;MSE(logit);3.23±2.09;2.12±0.93;10.59±16.22;0.44±0.21;0.52±0.33
14;LSTM;Model-based;BCE;1.23±0.39;1.54±0.20;13.67±6.05;0.34±0.03;0.80±0.03
15;LSTM;Model-based;MSE(logit);2.48±0.42;2.01±0.16;2.29±0.92;0.51±0.03;0.64±0.04
16;GRU;Model-based;BCE;1.94±0.22;1.79±0.12;13.39±3.22;0.35±0.02;0.76±0.02
17;GRU;Model-based;MSE(logit);2.14±0.48;1.80±0.21;3.27±0.93;0.46±0.10;0.70±0.06
18;TKAN;ARIMA;BCE;1.47±0.35;1.52±0.13;5.55±2.71;0.32±0.02;0.79±0.03
19;TKAN;ARIMA;MSE(logit);2.32±1.88;1.70±0.76;3.58±5.64;0.35±0.12;0.68±0.21
20;LSTM;ARIMA;BCE;1.39±0.38;1.49±0.13;7.61±4.22;0.33±0.03;0.79±0.06
21;LSTM;ARIMA;MSE(logit);2.67±0.64;1.99±0.24;2.66±1.08;0.47±0.05;0.63±0.06
22;GRU;ARIMA;BCE;1.53±0.41;1.58±0.18;10.17±3.56;0.34±0.03;0.77±0.05
23;GRU;ARIMA;MSE(logit);2.50±0.57;1.89±0.20;2.63±0.98;0.46±0.05;0.65±0.06
