;Model;Imputation;Loss;Layers Encoder;Layers Decoder;Attn. heads;FFT;Recurrent embeddings;Masked ratio;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
0;Transformer:encoder-decoder;Forward fill;MSE(logit);1;1;1;+;+;0.1;2.53±0.63;1.92±0.33;1.92±0.41;0.37±0.05;0.70±0.04
1;Transformer:encoder-decoder;Forward fill;BCE;1;1;1;+;+;0.1;1.69±0.22;1.89±0.09;7.73±1.56;0.38±0.06;0.79±0.04
2;Transformer:encoder-decoder;Model-based;MSE(logit);1;1;1;+;-;0.1;8.78±0.00;4.56±0.00;6.88±0.00;0.80±0.00;-0.13±0.00
3;Transformer:encoder-decoder;Model-based;MSE(logit);1;1;1;+;+;0.1;2.91±1.39;1.92±0.37;1.45±0.16;0.37±0.03;0.63±0.06
4;Transformer:encoder-decoder;ARIMA;MSE(logit);1;1;1;+;+;0.1;1.86±1.04;1.77±0.51;2.79±0.75;0.35±0.05;0.73±0.13
5;Transformer:encoder-decoder;ARIMA;BCE;1;1;1;+;+;0.1;1.35±0.38;1.64±0.26;10.90±4.18;0.35±0.02;0.81±0.03
6;Transformer:encoder-decoder;Interpolation;MSE(logit);1;1;1;-;+;0.1;2.02±0.96;1.71±0.31;1.98±0.50;0.37±0.07;0.68±0.16
7;Transformer:encoder-decoder;Interpolation;BCE;1;1;1;-;+;0.1;2.40±0.41;2.21±0.16;5.44±2.36;0.40±0.05;0.74±0.03
8;Transformer:encoder-decoder;Interpolation;MSE(logit);1;1;1;-;-;0.1;2.28±1.28;2.12±0.64;3.27±1.20;0.62±0.18;0.66±0.13
9;Transformer:encoder-decoder;Interpolation;BCE;1;1;1;-;-;0.1;1.97±0.39;1.64±0.19;6.67±2.65;0.34±0.03;0.76±0.03
10;Transformer:encoder-decoder;Interpolation;MSE(logit);1;1;1;-;+;0.3;1.68±0.43;1.50±0.17;1.46±0.38;0.34±0.04;0.73±0.08
11;Transformer:encoder-decoder;Interpolation;BCE;1;1;1;-;+;0.3;3.33±1.82;2.82±1.47;76.73±90.06;0.38±0.10;0.50±0.36
12;Transformer:encoder-decoder;Forward fill;MSE(logit);1;1;1;+;-;0.1;8.82±2.53;4.22±0.82;10.25±0.99;0.88±0.02;-0.17±0.04
13;Transformer:encoder-decoder;Forward fill;BCE;1;1;1;+;-;0.1;1.35±0.67;1.76±0.44;12.53±9.51;0.35±0.03;0.82±0.05
