;Model;Imputation;Loss;Layers;Attn. heads;FFT;Recurrent embeddings;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
0;Transformer:encoder;Forward fill;MSE(logit);1;1;+;+;1.60±0.37;1.48±0.18;1.03±0.13;0.34±0.08;0.74±0.08
1;Transformer:encoder;Forward fill;BCE;1;1;+;+;1.03±0.46;1.28±0.22;12.94±5.73;0.30±0.05;0.84±0.06
2;Transformer:encoder;Forward fill;MSE(logit);1;1;+;-;6.68±1.46;3.61±0.40;3.40±1.22;0.69±0.08;0.15±0.13
3;Transformer:encoder;Forward fill;BCE;1;1;+;-;6.01±2.07;4.41±0.42;93.55±97.00;0.59±0.07;0.20±0.15
4;Transformer:encoder;Forward fill;MSE(logit);1;2;+;+;2.18±0.62;1.73±0.24;1.04±0.18;0.38±0.05;0.69±0.08
5;Transformer:encoder;Forward fill;BCE;1;2;+;+;1.01±0.40;1.32±0.15;13.37±12.45;0.28±0.02;0.86±0.04
6;Transformer:encoder;Forward fill;MSE(logit);1;2;+;-;6.22±1.83;3.50±0.55;3.92±1.41;0.70±0.07;0.25±0.13
7;Transformer:encoder;Forward fill;BCE;1;2;+;-;7.66±1.28;5.22±0.13;158.10±65.71;0.52±0.05;-0.02±0.02
8;Transformer:encoder;Forward fill;MSE(logit);1;4;+;+;2.63±1.00;1.70±0.50;1.21±0.26;0.44±0.05;0.57±0.10
9;Transformer:encoder;Forward fill;BCE;1;4;+;+;0.79±0.39;1.13±0.26;6.32±3.95;0.25±0.05;0.88±0.05
10;Transformer:encoder;Forward fill;MSE(logit);1;4;+;-;5.97±1.61;3.31±0.49;5.69±2.05;0.71±0.09;0.15±0.16
11;Transformer:encoder;Forward fill;BCE;1;4;+;-;5.33±1.59;4.18±0.48;82.81±75.30;0.57±0.07;0.26±0.14
12;Transformer:encoder;Forward fill;MSE(logit);2;1;+;+;2.71±1.11;1.69±0.41;1.11±0.18;0.37±0.03;0.59±0.12
13;Transformer:encoder;Forward fill;BCE;2;1;+;+;1.25±0.45;1.33±0.32;8.34±6.38;0.30±0.03;0.82±0.02
14;Transformer:encoder;Forward fill;MSE(logit);2;1;+;-;5.43±1.59;3.20±0.38;4.32±1.71;0.67±0.04;0.31±0.15
15;Transformer:encoder;Forward fill;BCE;2;1;+;-;6.53±1.98;4.12±0.54;84.29±110.03;0.59±0.07;0.24±0.14
16;Transformer:encoder;Forward fill;MSE(logit);2;2;+;+;2.11±1.13;1.69±0.57;1.17±0.32;0.37±0.08;0.69±0.21
17;Transformer:encoder;Forward fill;BCE;2;2;+;+;1.83±0.57;1.69±0.23;8.14±2.85;0.32±0.04;0.76±0.06
18;Transformer:encoder;Forward fill;MSE(logit);2;2;+;-;6.84±3.34;3.54±0.80;4.81±2.68;0.68±0.07;0.20±0.14
19;Transformer:encoder;Forward fill;BCE;2;2;+;-;5.17±1.32;3.59±0.68;102.70±88.77;0.60±0.02;0.25±0.19
20;Transformer:encoder;Forward fill;MSE(logit);2;4;+;+;1.54±0.86;1.43±0.26;0.87±0.06;0.32±0.03;0.79±0.12
21;Transformer:encoder;Forward fill;BCE;2;4;+;+;0.84±0.32;1.15±0.21;6.48±2.33;0.27±0.05;0.86±0.04
22;Transformer:encoder;Forward fill;MSE(logit);2;4;+;-;4.70±1.50;2.81±0.53;4.81±1.39;0.67±0.05;0.23±0.12
23;Transformer:encoder;Forward fill;BCE;2;4;+;-;6.13±1.59;3.81±0.56;47.83±25.29;0.63±0.05;0.11±0.07
24;Transformer:encoder;Forward fill;MSE(logit);3;1;+;+;2.30±0.79;1.68±0.31;1.07±0.08;0.34±0.04;0.70±0.05
25;Transformer:encoder;Forward fill;BCE;3;1;+;+;1.90±0.64;1.62±0.29;5.52±3.09;0.32±0.02;0.78±0.04
26;Transformer:encoder;Forward fill;MSE(logit);3;1;+;-;5.10±0.47;3.09±0.34;4.33±1.30;0.67±0.11;0.35±0.02
27;Transformer:encoder;Forward fill;BCE;3;1;+;-;5.15±1.20;3.57±0.51;29.56±9.89;0.61±0.07;0.26±0.12
28;Transformer:encoder;Forward fill;MSE(logit);3;2;+;+;2.82±0.47;1.75±0.26;1.14±0.31;0.38±0.05;0.57±0.05
29;Transformer:encoder;Forward fill;BCE;3;2;+;+;0.95±0.36;1.13±0.20;6.73±2.38;0.28±0.05;0.85±0.06
30;Transformer:encoder;Forward fill;MSE(logit);3;2;+;-;4.35±0.63;2.98±0.32;3.24±0.71;0.66±0.08;0.40±0.05
31;Transformer:encoder;Forward fill;BCE;3;2;+;-;4.45±0.76;3.24±0.19;28.82±6.16;0.60±0.06;0.29±0.10
32;Transformer:encoder;Forward fill;MSE(logit);3;4;+;+;1.61±0.99;1.48±0.35;0.98±0.15;0.31±0.07;0.78±0.14
33;Transformer:encoder;Forward fill;BCE;3;4;+;+;1.55±0.68;1.41±0.36;12.02±8.30;0.36±0.12;0.77±0.09
34;Transformer:encoder;Forward fill;MSE(logit);3;4;+;-;4.93±1.37;3.19±0.55;3.91±1.08;0.67±0.09;0.31±0.09
35;Transformer:encoder;Forward fill;BCE;3;4;+;-;6.69±0.78;4.12±0.28;40.27±22.37;0.60±0.06;0.11±0.12
36;Transformer:encoder;Forward fill;MSE(logit);4;1;+;+;1.36±0.42;1.35±0.23;0.90±0.05;0.33±0.02;0.77±0.06
37;Transformer:encoder;Forward fill;BCE;4;1;+;+;1.15±0.46;1.38±0.29;5.12±2.22;0.29±0.03;0.85±0.04
38;Transformer:encoder;Forward fill;MSE(logit);4;1;+;-;5.16±1.71;3.24±0.55;10.54±11.46;0.62±0.04;0.24±0.06
39;Transformer:encoder;Forward fill;BCE;4;1;+;-;3.78±1.04;3.06±0.46;27.06±10.96;0.57±0.05;0.37±0.04
40;Transformer:encoder;Forward fill;MSE(logit);4;2;+;+;2.82±0.97;1.68±0.23;1.17±0.10;0.35±0.05;0.62±0.09
41;Transformer:encoder;Forward fill;BCE;4;2;+;+;1.03±0.21;1.33±0.14;7.41±1.35;0.30±0.02;0.84±0.03
42;Transformer:encoder;Forward fill;MSE(logit);4;2;+;-;5.10±1.73;2.94±0.47;9.61±6.62;0.66±0.06;0.28±0.18
43;Transformer:encoder;Forward fill;BCE;4;2;+;-;5.52±1.25;3.71±0.45;46.39±31.38;0.62±0.07;0.20±0.12
44;Transformer:encoder;Forward fill;MSE(logit);4;4;+;+;112.40±3.00;32.89±0.56;467.51±67.11;3.38±0.12;-17.69±4.11
45;Transformer:encoder;Forward fill;BCE;4;4;+;+;1.96±1.54;1.95±1.06;19.35±32.26;0.32±0.12;0.71±0.29
46;Transformer:encoder;Forward fill;MSE(logit);4;4;+;-;4.95±1.32;3.01±0.44;4.65±1.97;0.66±0.05;0.34±0.06
47;Transformer:encoder;Forward fill;BCE;4;4;+;-;5.52±1.43;3.69±0.44;37.92±33.77;0.65±0.10;0.25±0.15
48;Transformer:encoder;Interpolation;MSE(logit);1;1;+;+;1.71±0.64;1.51±0.24;0.96±0.13;0.33±0.01;0.75±0.11
49;Transformer:encoder;Interpolation;BCE;1;1;+;+;1.27±0.41;1.46±0.30;13.12±11.63;0.30±0.03;0.84±0.03
50;Transformer:encoder;Interpolation;MSE(logit);1;1;+;-;5.42±1.41;3.09±0.53;3.56±0.47;0.65±0.09;0.26±0.15
