;Year;Exporter;Importer;Unconstrained;Constrained: Au->China
0;2018;Australia;Bahrain;102669225.28523496;102669225.28523496
1;2018;Australia;China;310683451.0027646;310683451.0027646
2;2018;Australia;Fiji;190725990.07244402;190725990.07244402
3;2018;Australia;French Polynesia;7569472.193955951;7569472.193955951
4;2018;Australia;Indonesia;1577293931.4785047;1577293931.4785047
5;2018;Australia;Kuwait;339168589.1217456;339168589.1217456
6;2018;Australia;Malaysia;711234364.7864093;711234364.7864093
7;2018;Australia;Myanmar;275325662.1199606;275325662.1199606
8;2018;Australia;New Caledonia;19134576.72558741;19134576.72558741
9;2018;Australia;New Zealand;470265379.8689026;470265379.8689026
10;2018;Australia;Papua New Guinea;221007538.63116658;221007538.63116658
11;2018;Australia;Singapore;106449584.43504375;106449584.43504375
12;2018;Australia;Solomon Isds;13208707.305712134;13208707.305712134
13;2018;Australia;Thailand;302202642.5621842;302202642.5621842
14;2018;Australia;Viet Nam;1012244660.0189416;1012244660.0189416
15;2018;Australia;Yemen;409494847.8092202;409494847.8092202
16;2019;Australia;Bahrain;105097374.42351207;105097374.42351207
17;2019;Australia;China;221943457.7803555;73100515.54502626
18;2019;Australia;Fiji;172180389.40582615;172180389.40582615
19;2019;Australia;French Polynesia;7931070.25463623;7931070.25463623
20;2019;Australia;Indonesia;878077985.2033855;878077985.2033855
21;2019;Australia;Kuwait;423957842.8330391;423957842.8330391
22;2019;Australia;Malaysia;511006455.05489707;511006455.05489707
23;2019;Australia;Myanmar;203548546.882301;203548546.882301
24;2019;Australia;New Caledonia;13116898.628748747;13116898.628748747
25;2019;Australia;New Zealand;353889076.2806077;353889076.2806077
26;2019;Australia;Papua New Guinea;227491675.77783164;227491675.77783164
27;2019;Australia;Singapore;103778522.99833098;103778522.99833098
28;2019;Australia;Solomon Isds;14944500.75199175;14944500.75199175
29;2019;Australia;Thailand;404521854.6395012;404521854.6395012
30;2019;Australia;Viet Nam;895565353.7358983;895565353.7358983
31;2019;Australia;Yemen;638216689.3738532;638216689.3738532
32;2020;Australia;Bahrain;87284947.72581436;87284947.72581436
33;2020;Australia;China;1364364738.3693004;78845282.90817845
34;2020;Australia;Fiji;182178424.50022486;182178424.50022486
35;2020;Australia;French Polynesia;8189703.32050079;8189703.32050079
36;2020;Australia;Indonesia;1057176442.0453137;1057176442.0453137
37;2020;Australia;Kuwait;376323869.6187075;376323869.6187075
38;2020;Australia;Malaysia;404077537.14721596;404077537.14721596
39;2020;Australia;Myanmar;234464155.04836905;234464155.04836905
40;2020;Australia;New Caledonia;17993296.880981985;17993296.880981985
41;2020;Australia;New Zealand;325628537.64836353;325628537.64836353
42;2020;Australia;Papua New Guinea;243257118.59325388;243257118.59325388
43;2020;Australia;Singapore;113183743.65150833;113183743.65150833
44;2020;Australia;Solomon Isds;12759605.835946178;12759605.835946178
45;2020;Australia;Thailand;307201141.1004496;307201141.1004496
46;2020;Australia;Viet Nam;1053218422.0677115;1053218422.0677115
47;2020;Australia;Yemen;424222951.44135725;424222951.44135725
48;2021;Australia;Bahrain;89784125.16553506;89784125.16553506
49;2021;Australia;China;1577293931.4785047;69776698.89599569
50;2021;Australia;Fiji;177018919.73807454;177018919.73807454
51;2021;Australia;French Polynesia;11244847.919196412;11244847.919196412
52;2021;Australia;Indonesia;1577293931.4785047;1577293931.4785047
53;2021;Australia;Kuwait;360170163.95951784;360170163.95951784
54;2021;Australia;Malaysia;1143295783.5646143;1143295783.5646143
55;2021;Australia;Myanmar;308628394.962495;308628394.962495
56;2021;Australia;New Caledonia;27636979.878288735;27636979.878288735
57;2021;Australia;New Zealand;457627968.19794077;457627968.19794077
58;2021;Australia;Papua New Guinea;233314161.53417328;233314161.53417328
59;2021;Australia;Singapore;110434127.76524298;110434127.76524298
60;2021;Australia;Solomon Isds;17354248.208541714;17354248.208541714
61;2021;Australia;Thailand;1068661015.368191;1068661015.368191
62;2021;Australia;Viet Nam;1577293931.4785047;1577293931.4785047
63;2021;Australia;Yemen;834270126.5694921;834270126.5694921
64;2022;Australia;Bahrain;106302594.63264084;106302594.63264084
65;2022;Australia;China;1577293931.4785047;67892355.99346969
66;2022;Australia;Fiji;201517203.47359;201517203.47359
67;2022;Australia;French Polynesia;12929024.877318155;12929024.877318155
68;2022;Australia;Indonesia;1577293931.4785047;1577293931.4785047
69;2022;Australia;Kuwait;286414275.01207185;286414275.01207185
70;2022;Australia;Malaysia;1078187984.76011;1078187984.76011
71;2022;Australia;Myanmar;184625930.04332146;184625930.04332146
72;2022;Australia;New Caledonia;28590786.206963427;28590786.206963427
73;2022;Australia;New Zealand;541456263.5893297;541456263.5893297
74;2022;Australia;Papua New Guinea;226319064.21204942;226319064.21204942
75;2022;Australia;Singapore;72940716.86079316;72940716.86079316
76;2022;Australia;Solomon Isds;19542256.414977867;19542256.414977867
77;2022;Australia;Thailand;758197955.64472;758197955.64472
78;2022;Australia;Viet Nam;1577293931.4785047;1577293931.4785047
79;2022;Australia;Yemen;926227340.5654453;926227340.5654453
